Subject,Count
computer security,89
kongress,87
pattern recognition and graphics,86
knowledge management,86
text processing (computer science),86
theory of knowledge,86
computer imaging,86
history,86
machine theory,84
artificial intelligence - general,84
expert systems,82
cognitive psychology,82
system theory,81
simulation methods,80
philosophy (general),78
engineering design,78
science/mathematics,78
statistics,77
intellect,77
genetic algorithms,74
fuzzy sets,72
computational biology,71
thought and thinking,70
philosophy of mind,69
telecommunication,69
business,68
knowledge,68
parallel processing (electronic computers),67
human-machine systems,67
biology,66
moral and ethical aspects,65
consciousness,65
systems engineering,64
ubiquitous computing,64
neurosciences,63
diagnostic imaging,63
business intelligence tools,63
enterprise applications,63
biomedical engineering,61
theory of,61
constraint programming (computer science),61
educational applications,60
knowledge acquisition (expert systems),60
psychological aspects,59
systèmes experts (informatique),59
design,59
computers - general information,59
neural networks (neurobiology),58
system design,58
control systems,58
python (computer program language),56
programming languages,56
distributed artificial intelligence,56
computer architecture,55
thrillers,54
information systems applications (incl.internet),54
medical records,54
finance,53
computers and civilization,53
computer books: general,53
juvenile fiction,53
mechanical engineering,53
design and construction,53
kunstliche intelligenz,53
apprentissage automatique,52
strips,52
programming techniques,52
human information processing,51
discrete mathematics in computer science,51
computer-assisted,51
computer network architectures,51
children's fiction,50
security measures,50
professional,50
electronic commerce,49
manufacturing processes,49
decision support systems,49
compilers,48
economic aspects,48
biometric identification,48
self-organizing systems,48
educational technology,48
computers and society,48
web services,48
databases,48
electronics,48
interpreters,48
aufsatzsammlung,47
military applications,47
androids,47
learning,47
computer integrated manufacturing systems,46
methods,46
control theory,44
information science,43
law and legislation,43
aspect social,43
industrial robots,43
planning,42
verification,42
physiology,42
application software,42
intelligence,42
comics & graphic novels,42
diagnosis,42
ontologies (information retrieval),41
comic books,41
big data,40
language and languages,40
data protection,40
mathematical statistics,40
technology & engineering,40
set theory,40
signal processing,40
interactive multimedia,39
psycholinguistics,39
combinatorial optimization,39
innovations,38
lisp (computer program language),38
bibliography,38
good and evil,38
robotique,38
sciences cognitives,38
robotics and automation,38
simulation par ordinateur,37
cognitive neuroscience,37
intelligent tutoring systems,37
prolog (computer program language),37
system analysis,36
technology & industrial arts,36
human factors,36
conscious automata,36
computer appl. in administrative data processing,36
business information systems,36
game theory,36
connectionism,36
mehragentensystem,36
philosophie,35
computer applications,35
computational biology/bioinformatics,35
computer animation,35
wireless communication systems,35
maschinelles lernen,35
language translation and linguistics,35
heuristic programming,34
inteligencia artificial,34
distribution (probability theory),34
imaging systems,34
suspense,34
fantasy,34
probabilities,34
operating systems (computers),34
biometry,34
medical,33
adaptive control systems,33
control,33
business & economics,33
emotions,33
structural control (engineering),32
space stations,32
biological systems,32
autonomous robots,32
biological applications,32
database searching,32
computers and education,32
medical radiology,32
swarm intelligence,31
electronic digital computers,31
animal behavior,31
music,31
congres,31
industrial,31
automatic speech recognition,31
computer industry,31
microcomputers,30
biotechnology,30
speech processing systems,30
forecasting,30
systems theory,30
manga,29
dictionaries,29
gestion,29
information systems and communication service,29
humanities,29
geometry,29
industrial engineering,29
imaging systems in medicine,29
applications industrielles,29
neural networks,28
geographic information systems,28
numeric computing,28
military art and science,28
computer logic,28
computer systems,28
case-based reasoning,28
agriculture,28
constraints (artificial intelligence),27
machinery,27
nouvelles,27
biological models,27
rough sets,27
popular works,27
reference,27
visual perception,26
effect of technological innovations on,26
cellular automata,26
communication,26
immune system,26
artificial life,26
bayesian statistical decision theory,26
human behavior,26
management of computing and information systems,26
engineering economy,26
computers / artificial intelligence,26
production engineering,26
integrated circuits,25
web site development,25
object-oriented programming (computer science),25
ontology,25
schools,25
bionics,25
formal languages,25
réseaux neuronaux (informatique),25
sociology,25
document preparation and text processing,25
action & adventure,24
complexity,24
grammar,24
inteligencia artificial (computacao),24
memory,24
analogy,24
temporal databases,24
web databases,24
study and teaching,24
database design,24
scientists,24
expertensystem,24
mobile robots,24
statistical methods,24
inference,24
image analysis,24
pattern recognition,23
interactive computer systems,23
business logistics,23
production management,23
industrial management,23
intelligence artificielle en médecine,23
internet of things,23
mobile computing,23
information society,23
new york times reviewed,23
american science fiction,22
semantic networks (information theory),22
graph theory,22
probability and statistics in computer science,22
genius,22
comparative and general,22
social science,22
periodicals,22
creative ability,22
e-commerce/e-business,22
symbolic and algebraic manipulation,22
mechatronics,22
evolution,22
terrorism,22
human engineering,22
time,22
digital computer simulation,21
information resources management,21
data encryption (computer science),21
life sciences,21
cyborgs,21
systems and data security,21
biography,21
robot vision,21
image and speech processing signal,21
scheduling,21
detectors,21
special purpose and application-based systems,21
technology and civilization,20
soccer,20
marketing,20
new york times bestseller,20
control engineering systems,20
hard science fiction,20
space warfare,20
hybrid computers,20
computer network resources,20
romans,20
thinking,20
engineering & applied sciences,20
neural circuitry,20
multiagent systems,20
medical care,20
chemistry,20
information networks,19
theory of computation,19
ordinateurs,19
genetic programming (computer science),19
mustererkennung,19
machine translating,19
mensch-maschine-kommunikation,19
agents intelligents (logiciels),19
architecture,19
molecular biology,19
nonfiction,19
computer-aided engineering,19
cartoons and comics,19
vision par ordinateur,19
chaotic behavior in systems,19
web sites,19
theoretical models,19
comprehension,19
artificial intelligence -- fiction,19
psychologie,19
cluster analysis,19
management science,18
animals,18
lattice theory,18
aspect économique,18
ambient intelligence,18
computer appl. in social and behavioral sciences,18
bioinformatik,18
production control,18
human beings,18
ingénierie,18
space perception,18
simulation,18
adventure and adventurers,18
combinatorial analysis,18
economics/management science,18
data structures,18
biologically-inspired computing,18
space flight,18
drama,17
visualization,17
boys,17
technological,17
discourse analysis,17
manuals,17
handbooks,17
mobile communication systems,17
models and principles,17
man-woman relationships,17
coding theory,17
mind and body,17
conceptual structures (information theory),17
modèles mathématiques,17
mental processes,17
syntax,17
civil engineering,17
imaging,17
astronautics,17
business planning,17
neurale netwerken,17
hackers,17
comparative and general grammar,17
système expert,16
united states,16
user-centered system design,16
computer bks - general information,16
ethics,16
video games,16
computer neural networks,16
uncertainty,16
interplanetary voyages,16
telecommunication systems,16
neuronales netz,16
vibration,16
medical technology,16
linguistique informatique,16
qualitative reasoning,16
semantic computing,16
electronic apparatus and appliances,16
cae) and design,16
commande intelligente,16
algorithmes,16
semiotics,16
natural computation,16
human-alien encounters,16
médecine,16
math applications in computer science,16
functional programming (computer science),16
quantum theory,16
neurological models,16
adaptation,16
comprehension (theory of knowledge),15
adaptive computing systems,15
graphic methods,15
prise de décision,15
engineering (general),15
dynamics,15
cognitie,15
mathematical economics,15
computer aided design,15
real-time data processing,15
maschinelles sehen,15
history and criticism,15
educational games,15
computer-aided engineering (cad,15
mathematical analysis,15
internet in education,15
information storage and retrieval,15
computersimulation,15
open source software,15
pensée,15
digital media,15
computational neuroscience,15
kognition,15
automated pattern recognition,15
systemes experts (informatique),15
technique,15
three-dimensional display systems,15
operations research/decision theory,15
catalogs,15
raisonnement,15
genetic engineering,15
medical informatics applications,14
distributed databases,14
markov processes,14
financial engineering,14
legal research,14
intelligence informatique,14
anwendungssystem,14
denken,14
sensor networks,14
perception,14
aspect moral,14
national security,14
english language,14
process control,14
expertsystemen,14
affect (psychology),14
java (computer program language),14
nanotechnology,14
musical applications,14
cloud computing,14
psychology of learning,14
philosophical anthropology,14
social media,14
motion,14
006.3,14
(incl. robotics),14
recherche,14
relational databases,14
wissensbasiertes system,14
biometrics,14
east asian style,13
computer systems organization and communication networks,13
political science,13
neural networks (computer),13
technologie,13
social networks,13
criminals,13
electronic systems,13
reasoning (psychology),13
programmation,13
geography,13
imaginary wars and battles,13
bases de données,13
object-oriented methods (computer science),13
genetics,13
literature,13
sciences,13
blockchains (databases),13
career & trade -> computer science -> intelligence (ai) & semantics,13
nonmonotonic reasoning,13
engineering - mechanical,13
philosophy of law,13
etc,13
computational learning theory,13
business enterprises,13
mathematical geography,13
exploration de données (informatique),13
strategic planning,13
cyberspace,13
reconnaissance des formes (informatique),13
very large scale integration,13
applied,13
computing methodologies,13
armed forces,13
evaluation,13
games,13
computer hackers,13
nuclear physics,13
automobiles,13
immunocomputers,12
programmierung,12
expert systems (computer scien,12
essays,12
case studies,12
production planning,12
computer appl. in arts and humanities,12
agricultural applications,12
media design,12
systèmes d'information,12
prevention,12
mathematical linguistics,12
internet searching,12
computer system performance,12
life on other planets,12
large type books,12
semantic integration (computer systems),12
software,12
mathematicians,12
logik,12
psychology of,12
computer viruses,12
conscience,12
motor vehicles,12
appl.mathematics/computational methods of engineering,12
neural networks (computer scie,12
renewable energy sources,12
aspect psychologique,12
datenverarbeitung,12
mathematical logic and foundations,12
electric power systems,12
dynamical systems and complexity statistical physics,12
computer,12
technological forecasting,12
kognitiver prozess,12
numerical analysis,12
robotik,12
technology / manufacturing,12
organizational behavior,12
computer technology,12
metadata,12
systems analysis & design,11
physiological aspects,11
reinforcement learning,11
question-answering systems,11
command and control systems,11
données volumineuses,11
ontologie <wissensverarbeitung>,11
wissenstechnik,11
ai,11
evolutionärer algorithmus,11
cognitiewetenschap,11
technology and law,11
electronic surveillance,11
automatisation,11
supercomputers,11
anwendung,11
embedded computer systems,11
industrial design,11
short stories,11
evolution (biology),11
quality control,11
humanism,11
language arts & disciplines,11
intelligenz,11
biomimetics,11
traitement automatique des langues naturelles,11
logiciels,11
frames (information theory),11
self-help devices for people with disabilities,11
logique symbolique et mathématique,11
transportation,11
production scheduling,11
neurobiology,11
kognitionswissenschaft,11
optical data processing,11
survival,11
industries,11
mass media,11
computer music,11
online social networks,11
murder,11
cerveau,11
mechanics,11
arts,11
systems biology,11
natural language processing,11
dystopian,11
sprachverarbeitung,11
religious aspects,11
genetic epistemology,11
modality (logic),11
kognitive psychologie,11
exhibitions,11
chemical engineering,11
induction (logic),11
computer sound processing,11
mathematics of computing,10
automatic control engineering,10
1912-1954,10
alan mathison,10
turing,10
computer art,10
cognitieve processen,10
environmental sciences,10
lernendes system,10
humanity,10
formal methods (computer science),10
hardware,10
information services,10
artificial immune systems,10
language,10
human-robot interaction,10
biological control systems,10
microelectronics,10
web-based instruction,10
technology and state,10
connaissance,10
young adult fiction,10
addresses,10
game programming & design,10
discoveries in science,10
religion and science,10
international relations,10
turing test,10
city planning,10
technologie de l'information,10
real-time control,10
компьютеры,10
user-computer interface,10
man-machine systems,10
filosofie van de geest,10
high performance computing,10
mystery & detective,10
applications of mathematics,10
journalism,10
engineering applications,10
neurophysiology,10
informationssystem,10
friendship,10
higher education,10
higher,10
electric engineering,10
abduction (logic),10
imaging / radiology,10
virtual computer systems,10
american literature,10
employees,10
control systems theory,10
long now manual for civilization,10
networks communications engineering,10
nerve net,9
wissensverarbeitung,9
art and technology,9
computer chess,9
bildanalyse,9
information,9
virtuelle realität,9
etc.),9
manipulators (mechanism),9
ontologie (wissensverarbeitung),9
optimization,9
apprentissage,9
ordinateurs neuronaux,9
philosophie de l'esprit,9
representation (philosophy),9
traitement d'images,9
materials,9
mathematical theory of computation,9
basic (computer program language),9
electric apparatus and appliances,9
network hardware,9
art,9
business intelligence,9
china,9
human mechanics,9
active learning,9
clinical medicine,9
belief and doubt,9
psychological models,9
labor supply,9
software development & engineering,9
language and logic,9
investments,9
traffic engineering,9
neuropsychology,9
computers / machine theory,9
computers / database management / data mining,9
roboter,9
neural nets,9
testing,9
multisensor data fusion,9
life,9
fuzzy algorithms,9
particles (nuclear physics),9
softwareentwicklung,9
nonlinear systems,9
wissensextraktion,9
environmental engineering,9
software engineering/programming and operating systems,9
computer-aided software engineering,9
concepts,9
financial services industry,8
geographical information systems/cartography,8
automatic data collection systems,8
quantum computers,8
nonlinear theories,8
ecology,8
identification,8
programmation (informatique),8
entertainment computing,8
geographical perception,8
diseases,8
photography,8
bio-informatique,8
parsing (computer grammar),8
lectures,8
human evolution,8
neurology,8
electronic books,8
environmental aspects,8
bilderkennung,8
older people,8
bildverarbeitung,8
histoire,8
europe,8
political aspects,8
encyclopedias,8
microprogramming,8
revenge,8
digital electronics,8
digital libraries,8
economic development,8
context-aware computing,8
maintenance and repair,8
immunology,8
commerce,8
sociology of knowledge,8
wissensrepräsentation,8
computergraphik,8
american,8
standards,8
social systems,8
space vehicles,8
computer hardware,8
problemlösen,8
enseignement assisté par ordinateur,8
reliability,8
mathematische logik,8
modern,8
negotiation,8
computer networking & communications,8
human face recognition (computer science),8
bioengineering,8
engineering - electrical & electronic,8
space opera,8
instructional systems,8
structural engineering,8
industrie,8
augmented reality,8
exploration,8
semantics (philosophy),8
railroads,8
stochastic processes,8
künstliches leben,8
twenty-first century,8
graphic novels,8
image interpretation,8
cancer,8
social aspects of artificial intelligence,8
systèmes homme-machine,8
cytology,8
social change,7
intelligence artificielle répartie,7
artificial implants,7
visualisierung,7
visual programming (computer science),7
nuclear engineering,7
differentiable dynamical systems,7
teenage girls,7
reading level-grade 12,7
technology transfer,7
classification,7
social and behav. sciences,7
effets des innovations sur,7
health services administration,7
databases & data structures,7
jeux d'ordinateur,7
autonomer roboter,7
infographie,7
self-adaptive software,7
wissenserwerb,7
computers / general,7
reading level-grade 10,7
multimedia,7
market surveys,7
datenbanksystem,7
creation (literary,7
textbooks,7
fathers and sons,7
automatisches beweisverfahren,7
artistic,7
computer architecture & logic design,7
compilers (computer programs),7
machine-learning,7
proof theory,7
commonsense reasoning,7
2970,7
r (computer program language),7
german,7
résolution de problème,7
fuzzy mathematics,7
pop (computer program language),7
evidence (law),7
home automation,7
formale methode,7
informationstechnik,7
méthodologie,7
organization,7
epistemology,7
théorie de la connaissance,7
aeronautics,7
fifth generation computers,7
surgery,7
sci21000,7
robotics in medicine,7
english,7
techniques numériques,7
models,7
user interface design & usability,7
logische programmierung,7
assassins,7
multiple criteria decision making,7
psychological,7
science fiction comic books,7
information management,7
web,7
topology,7
feedback control systems,7
validation,7
incertitude (théorie de l'information),7
molecular computers,7
inteligência artificial,7
perceptrons,7
nervous system,7
computer interfaces,7
reliability (engineering),7
animal intelligence,7
reseaux neuronaux (informatique),7
kennissystemen,7
system performance and evaluation,7
mathématiques,7
computer vision in medicine,7
neuroscience,7
intelligentie,7
corporations,7
operator theory,7
language acquisition,7
enseignement assiste par ordinateur,7
space and time,7
information visualization,7
chinese language,7
women,7
prolog,7
conferences,7
computer literacy,7
operation research/decision theory,7
reading level-grade 11,7
unterstützungssystem <informatik>,7
traitement de l'information chez l'homme,7
e-learning,6
thriller,6
decision trees,6
government policy,6
time travel,6
microprocessors,6
remotely piloted vehicles,6
amerikanisches englisch,6
computer appl. in life sciences,6
delivery of health care,6
space ships,6
nonclassical mathematical logic,6
metaphor,6
personal computing,6
mathematical physics,6
exercises,6
problems,6
neural computing,6
artifical intelligence,6
social aspects of technology,6
internet des objets,6
differential equations,6
fantasy fiction,6
creativity,6
effect of automation on,6
system safety,6
méthodes de simulation,6
vocational guidance,6
chaînes de blocs,6
automobile engineering,6
probability & statistics,6
computerspiel,6
automata,6
heart,6
localization of functions,6
storytelling,6
neurons,6
libraries,6
knowledge bases (artificial intelligence),6
physical sciences,6
emotions (philosophy),6
structural analysis (engineering),6
cameras,6
movement,6
space robotics,6
cryptography,6
networking,6
technological unemployment,6
technology / electronics / general,6
recherche de l'information,6
langage naturel,6
trust,6
ordinateurs et civilisation,6
boolean algebra,6
programming - general,6
technology and the arts,6
circuits information and communication,6
educational tests and measurements,6
natürliche sprache,6
dreidimensionale rekonstruktion,6
algorithms & data structures,6
calculus,6
mechanical,6
peer-to-peer architecture (computer networks),6
risk assessment,6
biomedical technology,6
logic diagrams,6
applications biologiques,6
théorie de la,6
planets,6
manufacturing,6
probability theory and stochastic processes,6
mathematical models of cognitive processes and neural networks,6
philosophy and cognitive science,6
computer vision & pattern recognition,6
computers - languages / programming,6
algoritmen,6
computers &amp; the internet,6
evolutie,6
bahnplanung,6
future,6
hybrid systems,6
visuelles system,6
fiction / science fiction / general,6
remote sensing,6
information systems applications,6
prévision,6
economic policy,6
computerlinguistik,6
engineering - general,6
adventure stories,6
neurosciences cognitives,6
hedge funds,6
anthropology,6
développement,6
einführung,6
computerunterstützter unterricht,6
psychoanalysis,6
beeldverwerking,6
spatial analysis (statistics),6
programming (mathematics),6
causation,6
psycholinguistique,6
commande automatique,6
gesellschaft,6
fuzzy-logik,6
police,6
developmental biology,6
informatique douce,6
civilization,6
animation par ordinateur,6
informationsverarbeitung,6
redeneren,6
54.72 artificial intelligence,6
fuzzy decision making,6
medizin,6
entscheidungsfindung,6
agent intelligent,6
kennisrepresentatie,6
fuzzy-menge,6
benutzeroberfläche,6
lisp,6
aerospace engineering,6
analysis,6
mystery and detective stories,6
computer scientists,6
knowledge representation,6
prolog (langage de programmation),6
c plus plus (computer program language),6
représentation connaissance,6
computer modelling & simulation,6
architectural design,6
game theory/mathematical methods,6
smart materials,6
modell,6
risk management,6
german language,6
totalitarianism,6
women scientists,6
motion perception (vision),6
mehrkriterielle optimierung,6
roman,6
hugo award winner,6
award:hugo_award=novel,6
software development,5
computers / programming / systems analysis & design,5
reading level-grade 7,5
biochemistry,5
chemistry and earth sciences,5
accounting,5
agent,5
drugs,5
american short stories,5
data warehousing,5
biochemical engineering,5
theorie,5
programmation logique,5
logique,5
weapons systems,5
internet in public administration,5
narration (rhetoric),5
statistics and computing/statistics programs,5
human body,5
génie logiciel,5
web search engines,5
internet programming,5
web usage mining,5
telecommunications,5
automatische klassifikation,5
public administration,5
real time operation,5
agent (informatik),5
représentation des connaissances,5
mathematical programming operations research,5
cardiology,5
forecasts,5
proteins,5
lisp (langage de programmation),5
grobmenge,5
computer composition,5
fuzzy set theory,5
electronic circuit design,5
nonlinear control theory,5
chess,5
transhumanism,5
induction (mathematics),5
movements,5
médias numériques,5
laws,5
schwarmintelligenz,5
legal status,5
biologie,5
the future,5
software architecture,5
econometrics,5
modern civilization,5
congresos,5
technology / engineering / electrical,5
interaction homme-machine (informatique),5
expert systems / knowledge-based systems,5
computer programmers,5
systèmes multiagents (intelligence artificielle),5
family & general practice,5
banks and banking,5
mental representation,5
christianity,5
common lisp (computer program language),5
energy conservation,5
computer input-output equipment,5
investigation,5
teams in the workplace,5
soziale software,5
social psychology,5
management science operations research,5
auditing,5
services for,5
dystopias,5
psychology & psychiatry / cognitive psychology,5
langage,5
mathematical logic,5
humorous,5
turbo prolog,5
automatische handlungsplanung,5
popular culture,5
vie artificielle,5
electronics in military engineering,5
connection machines,5
immersion <virtuelle realität>,5
extraterrestrial beings,5
program transformation (computer programming),5
agent <informatik>,5
gehirn-computer-schnittstelle,5
bildgebendes verfahren,5
conception,5
semantik,5
homme,5
culture,5
data transmission systems,5
réseaux d'ordinateurs,5
climatic changes,5
foreign relations,5
immortality,5
health & fitness,5
emotions and cognition,5
gehirn,5
wissensmanagement,5
equations,5
gene expression,5
algorithmes génétiques,5
réseaux neuronaux à structure évolutive,5
judicial process,5
human physiology,5
granular computing,5
ethnology,5
business / economics / finance,5
genomics,5
explanation-based learning,5
access control,5
declarative programming,5
programmierlogik,5
finances,5
multimodales system,5
green technology,5
science fiction films,5
web sémantique,5
cosmology,5
nature,5
organizational learning,5
abstraction,5
automatic machinery,5
horror,5
connexionnisme,5
educational psychology,5
intelligent control systems  (engineering),5
electrical engineering,5
crime,5
system administration,5
storage & retrieval,5
computers / software development & engineering / systems analysis & design,5
traitement du (informatique),5
computational grids (computer systems),5
social interaction,5
mechanism (philosophy),5
mathematical modeling and industrial mathematics,5
nonverbal communication,5
interpersonal relations,5
artificiell intelligens,5
parallel computers,5
data encryption,5
coding and information theory,5
abstract data types (computer science),5
radiography,5
industrial and production engineering,5
data storage representation,5
xml (document markup language),5
politics and government,5
flexible manufacturing systems,5
predicate (logic),5
control engineering,5
criminology,5
bewustzijn,5
philosophy of science,5
tensorflow (electronic resource),5
logica,5
radio,5
fault-tolerant computing,5
safety measures,5
rehabilitation,5
online services,5
digital,5
mobiler roboter,5
ada (computer program language),5
biosensors,5
communication and technology,5
créativité,5
visuelle wahrnehmung,5
self,5
agricultural engineering,5
food industry and trade,5
metaphysics,5
autonomic computing,5
space colonies,5
missing persons,5
leadership,5
nursing,5
suco11645,5
business & economics / management,5
inventions,5
comparative psychology,5
artificial intelligence in fiction,5
statistical theory and methods,5
statistics for engineering,5
people with disabilities,5
reading level-grade 9,5
reading level-grade 8,5
ingenierie,5
drone aircraft,5
environmental protection,5
emotional intelligence,5
intelligent vehicle highway systems,5
radiology,5
allied health services,5
service-oriented architecture (computer science),5
software radio,5
fractals,4
structural design,4
child soldiers,4
cognitive dissonance,4
law enforcement,4
equipment and supplies,4
fuzzy statistics,4
open library staff picks,4
aliens,4
mesures,4
gesture,4
multivariate analysis,4
mémoire,4
attention,4
mathematical,4
portuguese language,4
societies,4
biomechanics,4
epic,4
programmatuurtechniek,4
languages,4
colonization,4
extinction of the human race,4
business and education,4
oral communication,4
logic machines,4
sports,4
analytic,4
komplexes system,4
sites web,4
intelligent buildings,4
sémantique,4
programmiersprache,4
,4
intelligence service,4
von neumann probe,4
information storage & retrieval,4
online information services,4
historiography,4
anthropologie philosophique,4
blended learning,4
algebraic logic,4
natürlichsprachiges system,4
mental health,4
future life,4
covid-19,4
creative thinking,4
nuclear power plants,4
robotica,4
depth perception,4
conspiracies,4
covid-19 (disease),4
turbo pascal (computer file),4
defense industries,4
regression analysis,4
financial economics,4
effets de l'automatisation sur,4
career & trade -> computer science -> computer graphics,4
ant algorithms,4
erweiterte realität <informatik>,4
military weapons,4
medical electronics,4
manufacturing industries,4
robots industriels,4
algorithmus,4
reinforcement (psychology),4
virtuelle gemeinschaft,4
longevity,4
adaptives system,4
digital communications,4
artificial intelligence in literature,4
phonology,4
computers / neural networks,4
python,4
identity (psychology),4
industrial efficiency,4
microsoft .net,4
technology & engineering / robotics,4
guidance systems (flight),4
assistive computer technology,4
philosophy / mind & body,4
computer crimes,4
blind women,4
business & economics / labor,4
magic,4
group work in education,4
patents,4
artificial,4
instrumentation electronics and microelectronics,4
model theory,4
touch,4
inferenz <künstliche intelligenz>,4
nervennetz,4
behavioural sciences,4
genetischer algorithmus,4
programmeren (computers),4
cybernétique,4
computergestuurd onderwijs,4
cognition & cognitive psychology,4
sustainable development,4
exploration de données,4
mensch,4
clinical,4
intelligence artificielle -- romans,4
natuurlijke-taalverwerking,4
informationstheorie,4
systèmes auto-organisés,4
common sense,4
7256,4
deductive databases,4
reusability,4
decision support techniques,4
ergonomics,4
adaptation (biology),4
public health,4
ku nstliche intelligenz,4
higher nervous activity,4
internet users,4
interpretation and construction,4
thieves,4
humanoider roboter,4
aerodynamics,4
expertise,4
networking - general,4
social aspects of computers,4
information theory in biology,4
robbers and outlaws,4
medical informatics computing,4
criminal law,4
reengineering (management),4
business & economics / general,4
artificial intelligence -- congresses,4
technik,4
security systems,4
forensic sciences,4
intellectual property,4
approximation theory,4
entscheidungstheorie,4
robotics & artificial intelligence,4
etc. pour la jeunesse,4
performance,4
étude et enseignement,4
employment,4
conditionals (logic),4
instruction and study,4
service industries,4
personnel management,4
multimedia communications,4
comparative,4
c++ (computer program language),4
logique symbolique et mathematique,4
three-dimensional imaging,4
rewriting systems (computer science),4
computers / computer vision & pattern recognition,4
information technology: general issues,4
architecture and technology,4
parallel programming (computer science),4
document markup languages,4
new business enterprises,4
geology,4
éducation,4
applications en éducation,4
electronics - general,4
mathematics / general,4
network analysis,4
mécanique humaine,4
ethics & moral philosophy,4
dictionnaires anglais,4
probleemoplossing,4
verteilte künstliche intelligenz,4
cryptology and information theory data structures,4
project management,4
conception et construction,4
high level programming languages,4
imaging systems & technology,4
société informatisée,4
techniques,4
logiciels d'application,4
computeranimation,4
families,4
cyberterrorism,4
flight control,4
airplanes,4
support vector machines,4
brothers,4
combinatorics,4
кибернетика: искусственный интеллект,4
cybernetics: artificial intelligence,4
entropy (information theory),4
bibliographie,4
quotations,4
maxims,4
rule-based programming,4
romance,4
persuasion (psychology),4
réseaux électriques (énergie),4
engineering: general,4
systèmes experts,4
geneva (switzerland),4
engineering - industrial,4
speech,4
mathematisches modell,4
guthrie,4
eao,4
lego toys,4
macroeconomics,4
anson (fictitious character),4
biomathematics,4
computergraphics,4
awareness,4
human factors engineering,4
meaning (philosophy),4
patroonherkenning,4
parallélisme (informatique),4
computers / information technology,4
connaissances,4
science / energy,4
planification,4
identity,4
epidemiology,4
animaux,4
internal medicine,4
imagerie pour le diagnostic,4
imagerie médicale,4
senses and sensation,4
trends,4
housing,4
bayes theorem,4
default reasoning,4
future studies,4
relevance (philosophy),4
traitement automatique de la parole,4
user interfaces,4
gay men,4
espionage,4
kunstmatig leven,4
kryptoanalyse,4
computers / intelligence (ai) & semantics,4
information modeling,4
aesthetics,4
robots -- fiction,4
intentionality (philosophy),4
physique,4
welding,4
numerical solutions,4
interfaces utilisateurs (informatique),4
satire,4
nuclear energy,4
career & trade -> engineering -> general engineering,4
agentia,4
therapy,4
prozessmanagement,4
ingénierie des systèmes,4
digital video,4
sustainability,4
robots in fiction,4
indexes,4
benutzerfreundlichkeit,4
datenanalyse,4
supervised learning (machine learning),4
electrical,4
social science / media studies,4
computer composition (music),4
distance education,4
physik,4
developmental psychology,4
mathematics / probability & statistics / general,4
wireless sensor networks,4
medical education,4
end of the world,4
autonomous vehicles,4
xml,4
robots in art,3
smear campaigns,3
frankenstein complex,3
processos cognitivos,3
natural language (computers),3
artificial intelligence - fuzzy logic,3
business communication,3
biophysics,3
duty,3
human-animal relationships,3
philosophy of language,3
san francisco (calif.),3
military engineering,3
brain mapping,3
tools,3
linguistik,3
machine design,3
3121,3
immuno-ordinateurs,3
neuroinformatik,3
fabrication,3
face perception,3
model checking,3
dempster-shafer theory,3
superheroes,3
musculoskeletal system,3
programming - software development,3
theoretische informatik,3
